,nl,code
1638,"call the function field.value_to_string with an argument obj, substitute the result for value under the field.name key of self._current dictionary.",self . _current [ field . name ] = field . value_to_string ( obj )
1639,"for every model in model_list,",for model in model_list :
1640,"if ip_str starts with ':, but it doesnt starts with '::', or if ip_str ends with ':, but it doesnt ends with '::',",if ( ( ip_str . startswith ( ':' ) and not ip_str . startswith ( '::' ) ) or ( ip_str . endswith ( ':' ) and not ip_str . endswith ( '::' ) ) ) :
1641,"if not,",else :
1642,"call the method bytes_to_text with 2 arguments: key and self.encoding, substitute the result for value.","value = bytes_to_text ( value , self . encoding )"
1643,"call the method __init__ from the base class of the class Textarea, with an argument default_attrs.","super ( Textarea , self ) . __init__ ( default_attrs )"
1644,define the method __eq__ with self and other arguments:,"def __eq__ ( self , other ) :"
1645,return exclude.,return exclude
1646,"try,",try :
1647,"if filter_name is contained in self.filters,",if filter_name in self . filters :
1648,"if not,",else :
1649,substitute the second element of result for current_expires.,current_expires = result [ 1 ]
1650,"if autoescape is true and value is not an instance of SafeData, autoescape is boolean True, otherwise it is boolean False.","autoescape = autoescape and not isinstance ( value , SafeData )"
1651,request is None.,request = None
1652,set old_method_name attribute of the base object to the result of the function wrapper called with an argument new_method.,"setattr ( base , old_method_name , wrapper ( new_method ) )"
1653,"if lang_code is not contained in _supported and replacement is contained in _supported,",if lang_code not in _supported and replacement in _supported :
1654,"for i in self._deleted_form_indexes append i-th element of self.forms into a list, return the resulting list.",return [ self . forms [ i ] for i in self . _deleted_form_indexes ]
1655,from django.db import connection into default name space.,from django . db import connection
1656,"if ValidationError, substituted for e, exception is caught,",except ValidationError as e :
1657,code set to an string 'invalid_choice' and dictionary params with an entry: value for 'value'. return value.,return value
1658,"if tried is true,",if tried :
1659,if val equals an empty list.,if val == [ ] :
1660,call the method cursor.execute with an argument sql.,cursor . execute ( sql )
1661,"for second and third element of args, respectively. if length of args equals integer 2,",if len ( args ) == 2 :
1662,define the function linebreaks_filter with 2 arguments value and autoescape set to None.,"def linebreaks_filter ( value , autoescape = None ) :"
1663,"call the function wrapped_callback with request, list or arguments callback_args and dictionary arguments callback_kwargs,","response = wrapped_callback ( request , * callback_args , ** callback_kwargs )"
1664,self.pointer is integer 0.,self . pointer = 0
1665,match is boolean True.,match = True
1666,"if has_old_option is true,",if has_old_option :
1667,"html set to boolean True and truncate set to string ' ...', return the result. decorator function register.filter with an argument is_safe set to boolean False.",@ register . filter ( is_safe = False )
1668,"try,",try :
1669,"call the method cache.set with cache_key, an empty list and cache_timeout as arguments.","cache . set ( cache_key , [ ] , cache_timeout )"
1670,"if lang_code is not None,",if lang_code is not None :
1671,"get is a tuple containing elements generated by the call to the function pformat with an argument POST_override,",post = ( pformat ( POST_override ) if POST_override is not None else pformat ( request . POST ) )
1672,skip this loop iteration.,continue
1673,from django.db.utils import DatabaseError into default name space.,from django . db . utils import DatabaseError
1674,self.cc is an empty list.,self . cc = [ ]
1675,"sort value with key set to filed resolve of instance of a class Variable, created with an argument arg, reverse the sort and return the result.","return sorted ( value , key = Variable ( arg ) . resolve , reverse = True )"
1676,define the function Deserializer with arguments object_list and unpacked dictionary options.,"def Deserializer ( object_list , ** options ) :"
1677,define the method clear with argument self.,def clear ( self ) :
1678,"if IndexError exception is caught,",except IndexError :
1679,app_dirs is an empty list.,app_dirs = [ ]
1680,"substitute the result for proxy. if not,",else :
1681,"if css_classes is true,",if css_classes :
1682,existing_headers is a set containing lowercase strings header for every header in vary_headers.,existing_headers = set ( header . lower ( ) for header in vary_headers )
1683,call the method os.dup2 with 2 arguments: result of the method so.fileno and result of the method sys.stdout.fileno.,"os . dup2 ( so . fileno ( ) , sys . stdout . fileno ( ) )"
1684,"call the os.umask function with argument integer 0, substitute the result for old_umask.",old_umask = os . umask ( 0 )
1685,"call the function re.compile with an argument string ""([\u0080-\uffff])"", substitute the result for ustring_re.","ustring_re = re . compile ( ""([\u0080-\uffff])"" )"
1686,substitute value under the f.name key of the labels dictionary for value under the 'label' key of kwargs dictionary.,kwargs [ 'label' ] = labels [ f . name ]
1687,"while factor is greater or equal to integer 0,",while factor >= 0 :
1688,return text.,return text
1689,"call the method self.__class__ with an argument self, return the result.",return self . __class__ ( self )
1690,define the method copy with an argument self.,def copy ( self ) :
1691,define the method reset with an argument self.,def reset ( self ) :
1692,call the django.setup method.,django . setup ( )
1693,"if not,",else :
1694,call the method self.connection.ehlo.,self . connection . ehlo ( )
1695,return value.,return value
1696,append data to self.children.,self . children . append ( data )
1697,"substitute the result for sequence. call the method parser.parse with an argument tuple with 2 elements strings 'empty' and 'endfor', substitute the result for nodelist_loop.","nodelist_loop = parser . parse ( ( 'empty' , 'endfor' , ) )"
1698,"if only_initial is false,",if not only_initial :
1699,"call the method field.rel.to._meta.pk.to_python with an argument value, use the result as an argument for the call to the,",return smart_text ( field . rel . to . _meta . pk . to_python ( value ) )
1700,call the method settings.configure with an argument USE_I18N set to boolean True.,settings . configure ( USE_I18N = True )
1701,"call the self.stderr.write method with string "" Installing index for %s.%s model\n"" as argument,","self . stdout . write ( "" Installing index for %s.%s model\n"" % ( app_name , model . _meta . object_name ) )"
1702,"call the method parser.add_option with 3 arguments: string '--traceback', action set to a string 'store_true',","parser . add_argument ( '--traceback' , action = 'store_true' , help = 'Raise on exception' )"
1703,"call the method setlistdefault from the base class of the class QueryDict, with arguments key and default_list, return the result.","return super ( QueryDict , self ) . setdefault ( key , default )"
1704,"join app_config.path and string 'templates' into file path, substitute it for template_dir.","template_dir = os . path . join ( app_config . path , 'templates' )"
1705,write it to self.stdout. substitute Command for BaseRunserverCommand.,BaseRunserverCommand = Command
1706,raise a ValidationError exception with arguments self.message and code set to self.code.,"raise ValidationError ( self . message , code = self . code )"
1707,substitute settings.STATIC_URL for prefix.,prefix = settings . STATIC_URL
1708,"if active has an attribute 'value',","if hasattr ( _active , ""value"" ) :"
1709,"call the method template.render with an argument context, return the result.",return template . render ( context )
